episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,22997,14080,23000,14080,1000,640,23000,640,22997,False,1,23,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-03-06,1682733786,3.814427137374878,95.61502742767334,47986,gold56.cluster.local,10.13.39.111,95.61502742767334,0,23,77.94419169425964,23000,14080,22997,14080,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],196.301,23000,14080,22997,14080,79.48333333333333,21.566666666666663,[2307.6533339437583],[20000]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,23997,14720,24000,14720,1000,640,24000,640,23997,False,1,24,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-03-10,1682733790,3.7288119792938232,99.34383940696716,47986,gold56.cluster.local,10.13.39.111,99.34383940696716,0,24,77.94419169425964,24000,14720,23997,14720,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],184.525,24000,14720,23997,14720,80.6,21.6,[2307.6533339437583],[20000]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,24997,15360,25000,15360,1000,640,25000,640,24997,False,1,25,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-03-14,1682733794,4.256183385848999,103.60002279281616,47986,gold56.cluster.local,10.13.39.111,103.60002279281616,0,25,77.94419169425964,25000,15360,24997,15360,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],228.292,25000,15360,24997,15360,77.7,21.599999999999998,[2307.6533339437583],[20000]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,25997,16000,26000,16000,1000,640,26000,640,25997,False,1,26,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-03-18,1682733798,3.828916311264038,107.4289391040802,47986,gold56.cluster.local,10.13.39.111,107.4289391040802,0,26,77.94419169425964,26000,16000,25997,16000,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],180.318,26000,16000,25997,16000,80.02000000000001,21.660000000000004,[2307.6533339437583],[20000]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,26997,16640,27000,16640,1000,640,27000,640,26997,False,1,27,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-03-22,1682733802,3.688553810119629,111.11749291419983,47986,gold56.cluster.local,10.13.39.111,111.11749291419983,0,27,77.94419169425964,27000,16640,26997,16640,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],179.041,27000,16640,26997,16640,80.8,21.7,[2307.6533339437583],[20000]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,27997,17280,28000,17280,1000,640,28000,640,27997,False,1,28,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-03-26,1682733806,3.617920398712158,114.73541331291199,47986,gold56.cluster.local,10.13.39.111,114.73541331291199,0,28,77.94419169425964,28000,17280,27997,17280,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],179.797,28000,17280,27997,17280,80.06,21.759999999999998,[2307.6533339437583],[20000]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,28997,17920,29000,17920,1000,640,29000,640,28997,False,1,29,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-03-29,1682733809,3.8383820056915283,118.57379531860352,47986,gold56.cluster.local,10.13.39.111,118.57379531860352,0,29,77.94419169425964,29000,17920,28997,17920,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],182.387,29000,17920,28997,17920,79.8,21.8,[2307.6533339437583],[20000]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,29997,18560,30000,18560,1000,640,30000,640,29997,False,1,30,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-03-33,1682733813,3.68996262550354,122.26375794410706,47986,gold56.cluster.local,10.13.39.111,122.26375794410706,0,30,77.94419169425964,30000,18560,29997,18560,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],190.405,30000,18560,29997,18560,79.28,21.8,[2307.6533339437583],[20000]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,30997,19200,31000,19200,1000,640,31000,640,30997,False,1,31,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-03-37,1682733817,3.974470853805542,126.2382287979126,47986,gold56.cluster.local,10.13.39.111,126.2382287979126,0,31,77.94419169425964,31000,19200,30997,19200,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],187.601,31000,19200,30997,19200,80.31666666666666,21.86666666666667,[2307.6533339437583],[20000]
2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,1,0,0,31997,19840,32000,19840,1000,640,32000,640,31997,False,1,32,7bb0c_00000,c359d198fb8f43fdae5a6500d3f5aaac,2023-04-29_03-03-41,1682733821,4.223564624786377,130.46179342269897,47986,gold56.cluster.local,10.13.39.111,130.46179342269897,0,32,77.94419169425964,32000,19840,31997,19840,2307.6533339437583,2307.6533339437583,2307.6533339437583,20000.0,0,0,[2307.6533339437583],[20000],193.814,32000,19840,31997,19840,80.38333333333333,21.900000000000002,[2307.6533339437583],[20000]
