step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_average_speed,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_average_speed,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
54.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
55.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
56.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
57.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
58.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
59.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
60.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
61.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
62.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
63.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
64.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
65.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
66.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
67.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
68.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
69.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
70.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
71.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
72.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
73.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
74.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
75.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
76.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,11.999317482376803,0.0,0,0.0,1.0,0.0,11.999317482376803,0.0,1,0.0,0.0,23.998634964753606,0.0,11.999317482376803
