step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
59,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
60,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
61,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
62,0.0,0.0,0.0,,0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,4.0,2.0,0.0,1.0
63,0.0,0.0,0.0,,0,0.0,-1.4703255887953772,0.5296744112046228,-1.4703255887953772,1,0.0,0.0,0.0,0.0,1,0.0,5.470325588795378,0.5296744112046228,-0.7351627943976886,0.2648372056023114
64,0.0,0.0,0.0,,0,0.0,0.0,0.5296744112046228,0.0,1,0.0,0.0,0.0,0.0,1,0.0,5.470325588795378,0.5296744112046228,0.0,0.2648372056023114
65,0.0,0.0,0.0,,0,0.0,0.0,0.5296744112046228,0.0,1,0.0,0.0,0.0,0.0,1,0.0,5.470325588795378,0.5296744112046228,0.0,0.2648372056023114
66,0.0,0.0,0.0,,0,0.0,0.0,0.5296744112046228,0.0,1,0.0,0.0,0.0,0.0,1,0.0,5.470325588795378,0.5296744112046228,0.0,0.2648372056023114
67,0.0,0.0,0.0,,0,0.0,0.0,0.5296744112046228,0.0,1,0.0,0.0,0.0,0.0,1,0.0,5.470325588795378,0.5296744112046228,0.0,0.2648372056023114
68,0.0,0.0,0.0,,0,0.0,0.0,0.5296744112046228,0.0,1,0.0,0.0,0.0,0.0,1,0.0,5.470325588795378,0.5296744112046228,0.0,0.2648372056023114
69,0.0,0.0,0.0,,0,0.0,0.0,0.5296744112046228,0.0,1,0.0,0.0,0.0,0.0,1,0.0,5.470325588795378,0.5296744112046228,0.0,0.2648372056023114
70,0.0,0.0,0.0,,0,0.0,-1.1,-0.5703255887953773,-1.1,1,0.0,0.0,0.0,0.0,1,0.0,6.570325588795377,-0.5703255887953773,-0.55,-0.28516279439768866
71,0.0,0.0,0.0,,0,0.0,0.0,-0.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,6.570325588795377,-0.5703255887953773,0.0,-0.28516279439768866
72,0.0,0.0,0.0,,0,0.0,0.0,-0.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,6.570325588795377,-0.5703255887953773,0.0,-0.28516279439768866
73,0.0,0.0,0.0,,0,0.0,0.0,-0.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,6.570325588795377,-0.5703255887953773,0.0,-0.28516279439768866
74,0.0,0.0,0.0,,0,0.0,0.0,-0.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,6.570325588795377,-0.5703255887953773,0.0,-0.28516279439768866
75,0.0,0.0,0.0,,0,0.0,0.0,-0.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,6.570325588795377,-0.5703255887953773,0.0,-0.28516279439768866
76,0.0,0.0,0.0,,0,0.0,0.0,-0.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,6.570325588795377,-0.5703255887953773,0.0,-0.28516279439768866
77,0.0,0.0,0.0,,0,0.0,0.0,-0.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,6.570325588795377,-0.5703255887953773,0.0,-0.28516279439768866
78,0.0,0.0,0.0,,0,0.0,-2.0,-2.5703255887953773,-2.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,-1.0,-1.2851627943976887
79,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
80,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
81,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
82,0.0,0.0,0.0,,0,0.0,0.0,-2.5703255887953773,0.0,1,0.0,0.0,0.0,0.0,1,0.0,8.570325588795377,-2.5703255887953773,0.0,-1.2851627943976887
